ETF,종목코드,종목명,수량,비중,기준일
Korea플러스배당,000660,SK하이닉스,60,18.45,2026-09-18
Korea플러스배당,005930,삼성전자,369,16.42,2026-09-18
Korea플러스배당,138040,메리츠금융지주,200,4.46,2026-09-18
Korea플러스배당,005830,DB손해보험,112,3.81,2026-09-18
Korea플러스배당,316140,우리금융지주,592,3.79,2026-09-18
Korea플러스배당,086790,하나금융지주,130,3.15,2026-09-18
Korea플러스배당,034730,SK,33,3.14,2026-09-18
Korea플러스배당,017670,SK텔레콤,200,3.09,2026-09-18
Korea플러스배당,071050,한국금융지주,89,2.91,2026-09-18
Korea플러스배당,039490,키움증권,60,2.78,2026-09-18
Korea플러스배당,078930,GS,125,2.51,2026-09-18
Korea플러스배당,032830,삼성생명,49,2.42,2026-09-18
Korea플러스배당,105560,KB금융,70,2.21,2026-09-18
Korea플러스배당,024110,기업은행,603,2.14,2026-09-18
Korea플러스배당,003230,삼양식품,9,2.04,2026-09-18
Korea플러스배당,138930,BNK금융지주,644,1.78,2026-09-18
Korea플러스배당,402340,SK스퀘어,10,1.78,2026-09-18
Korea플러스배당,006800,미래에셋증권,300,1.68,2026-09-18
Korea플러스배당,009150,삼성전기,7,1.64,2026-09-18
Korea플러스배당,016360,삼성증권,100,1.52,2026-09-18
Korea플러스배당,003530,한화투자증권,1798,1.46,2026-09-18
Korea플러스배당,005940,NH투자증권,325,1.46,2026-09-18
Korea플러스배당,000810,삼성화재,11,1.29,2026-09-18
Korea플러스배당,175330,JB금융지주,231,1.29,2026-09-18
Korea플러스배당,003470,유안타증권,1494,1.21,2026-09-18
Korea플러스배당,055550,신한지주,60,1.2,2026-09-18
Korea플러스배당,001040,CJ,50,1.16,2026-09-18
Korea플러스배당,000270,기아,49,1.04,2026-09-18
Korea플러스배당,000150,두산,4,0.99,2026-09-18
Korea플러스배당,004370,농심,14,0.98,2026-09-18
Korea플러스배당,005380,현대차,15,0.96,2026-09-18
Korea플러스배당,028260,삼성물산,15,0.94,2026-09-18
Korea플러스배당,005387,현대차2우B,29,0.88,2026-09-18
Korea플러스배당,003490,대한항공,150,0.78,2026-09-18
Korea플러스배당,033780,KT&G,25,0.77,2026-09-18
Korea플러스배당,139130,iM금융지주,136,0.44,2026-09-18
코스피,005930,삼성전자,2590,26.2,2026-09-18
코스피,000660,SK하이닉스,343,23.98,2026-09-18
코스피,006400,삼성SDI,213,4.6,2026-09-18
코스피,105560,KB금융,590,4.24,2026-09-18
코스피,138040,메리츠금융지주,449,2.27,2026-09-18
코스피,402340,SK스퀘어,54,2.18,2026-09-18
코스피,009150,삼성전기,35,1.87,2026-09-18
코스피,278470,에이피알,130,1.84,2026-09-18
